STARTING APP .........

Beginning translation of logical addresses to physical addresses...
virt: 0x6dbc (pg:0x6d,off:0xbc)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0dbc, val:    0	  tlb_Hits:  4
virt: 0x24e8 (pg:0x24,off:0xe8)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x59e8, val:    0	  tlb_Hits:  4
virt: 0xaec8 (pg:0xae,off:0xc8)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x2bc8, val:    0	  tlb_Hits:  4
virt: 0xf038 (pg:0xf0,off:0x38)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5a38, val:    0	  tlb_Hits:  4

virt: 0x7add (pg:0x7a,off:0xdd)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5bdd, val:    0	  tlb_Hits:  4
virt: 0xed4a (pg:0xed,off:0x4a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5c4a, val:   59	  tlb_Hits:  4
virt: 0x2fa7 (pg:0x2f,off:0xa7)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0aa7, val:  -23	  tlb_Hits:  4
virt: 0xf32f (pg:0xf3,off:0x2f)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5d2f, val:  -53	  tlb_Hits:  4
virt: 0x5521 (pg:0x55,off:0x21)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5e21, val:    0	  tlb_Hits:  4

virt: 0x67b0 (pg:0x67,off:0xb0)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5fb0, val:    0	  tlb_Hits:  4
virt: 0x3a74 (pg:0x3a,off:0x74)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6074, val:    0	  tlb_Hits:  4
virt: 0xa1f6 (pg:0xa1,off:0xf6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x61f6, val:   40	  tlb_Hits:  4
virt: 0xdb19 (pg:0xdb,off:0x19)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6219, val:    0	  tlb_Hits:  4
virt: 0xcb46 (pg:0xcb,off:0x46)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6346, val:   50	  tlb_Hits:  4

virt: 0xbb6e (pg:0xbb,off:0x6e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x646e, val:   46	  tlb_Hits:  4
virt: 0xe85c (pg:0xe8,off:0x5c)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x655c, val:    0	  tlb_Hits:  4
